Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
17954,87 Bazar Gate St_PAF,18.93778037,72.83571283,87 Bazar Gate St_PAF,RFS,High-rise,48,38,10,21%,Rest
186673,9 Business Bay_MLH,19.17674613,72.83543676,9 Business Bay_MLH,RFS,High-rise,336,225,111,33%,P1
18251,Krishna Niwas_KLN,18.94408136,72.82910091,"9 Krishna Niwas,Dhobi Talao_KLN",RFS,Flatbed,32,10,22,69%,Rest
200720,9 North Co-operative Housing Society_SG7,19.05942959,72.91456233,9 North Co-operative Housing Society Wing-B_SG7,RFS,High-rise,216,201,15,7%,P1
14005,9/15 New Bansilal Building_ZAU,18.93051083,72.83322681,9/15 New Bansilal Building_ZAU,RFS,Flatbed,32,16,16,50%,Rest
169416,Lalwani Mansion_KLB,18.95027973,72.82735531,90 Lalwani Mansion_KLB,RFS,High-rise,64,47,17,27%,Rest
17562,Building No 91 Mansuri Hall_KLG,18.95473606,72.83109845,91 Mansuri Hall_KLG,RFS,Flatbed,32,28,4,13%,Rest
16368,91springboard Lotus_ASO,19.11991639,72.87491624,91springboard Lotus_ASO,RFS,High-rise,40,37,3,8%,Rest
16366,92 Bellevue_1UC,19.23305776,72.85044152,92 Bellevue_1UC,RFS,High-rise,80,72,8,10%,Rest
48074,92 Shree Nagdevi Mandir Comple_KLL,18.95173986,72.833565,92 Shree Nagdevi Mandir Complex_KLL,RFS,High-rise,48,25,23,48%,Rest
201456,93 East_AQY,19.12221322,72.86442557,93 East_AQY,RFS,High-rise,96,72,24,25%,Rest
186598,93 Palladian_AOK,19.11620522,72.86163058,93 Palladian_AOK,RFS,High-rise,128,105,23,18%,P1
196577,Bhagwan Kalawadi_P7K,18.95332025,72.82822629,94/96 Bhagwan Kalawadi Building_P7K,RFS,GHS,16,11,5,31%,Rest
21593,95/97 Sai Vihar Bldg_PAF,18.93650427,72.83579652,95/97 Sai Vihar_PAF,RFS,Flatbed,32,32,0,0%,Zero utilised
25167,Bldg No. 96/98_KLI,18.95142832,72.83151059,96/98 Building_KLI,RFS,Flatbed,32,6,26,81%,Rest
195102,Mansur Building_KLE,18.94728721,72.83010651,98 Mansur Building_KLE,RFS,Flatbed,32,12,20,63%,Rest
49834,98 Narayan Dhuru Street_KLV,18.95238789,72.83296352,98 Narayan Dhuru Street_KLV,RFS,High-rise,72,72,0,0%,Zero utilised
22089,99 Mahesh Bhavan_PAF,18.93681713,72.83592227,99 Mahesh Bhavan_PAF,RFS,GHS,16,12,4,25%,Rest
194224,Godrej Coliseum_CHC,19.05006086,72.87667551,A & B Wing Godrej Coliseum Sion_CHC,RFS,High-rise,64,35,29,45%,Rest
80452,A & L Apparels Pvt Ltd_ASO,19.11917,72.87324,A & L Apparels Pvt Ltd Plot No-84_ASO,RFS,GHS,8,7,1,13%,Rest
193202,A 165 Sonawala_AG7,18.96807467,72.81581003,A 165 Sonawala Bldg_AG7,RFS,Flatbed,32,31,1,3%,Rest
187882,A C Patil College of Engineering_SKK,19.03046734,73.06166842,A C Patil College of Engineering_SKK,RFS,High-rise,8,5,3,38%,Start Strong
192954,A H WADIA BAUG_2VW,18.99319525,72.8434162,A H WADIA BAUG Bldg-1_2VW,RFS,High-rise,40,37,3,8%,Rest
192955,A H WADIA BAUG_2VW,18.9931905,72.84360575,A H WADIA BAUG Bldg-2_2VW,RFS,High-rise,40,36,4,10%,Rest
192956,A H WADIA BAUG_2VW,18.99328723,72.84380197,A H WADIA BAUG Bldg-3_2VW,RFS,High-rise,40,33,7,18%,Rest
192957,A H WADIA BAUG_2VW,18.99338543,72.84397422,A H WADIA BAUG Bldg-4_2VW,RFS,High-rise,72,66,6,8%,Rest
192958,A H WADIA BAUG_2VW,18.99337264,72.84405497,A H WADIA BAUG Bldg-5_2VW,RFS,High-rise,64,56,8,13%,Rest
80485,A J House_ARG,19.11214506,72.8793783,A J House_ARG,RFS,High-rise,8,2,6,75%,Rest
49833,A K Mom Mahal_JOD,19.13610223,72.8477994,A K Mom Mahal_JOD,RFS,GHS,8,8,0,0%,Zero utilised
19231,A M Naik Tower_5LP,19.12676294,72.89093017,A M Naik Tower_5LP,RFS,High-rise,32,28,4,13%,Rest
79033,A N Chambers_BAG,19.05925281,72.83301551,A N Chambers_BAG,RFS,GHS,24,20,4,17%,Rest
186459,A N Hill View_SP7,19.0185517,73.02581308,A N Hill View_SP7,RFS,High-rise,24,23,1,4%,Rest
132366,A R Chambers_AB9,18.95253363,72.83617426,A R Chambers 240/242_AB9,RFS,Flatbed,8,7,1,13%,Rest
101399,A R House_0T5,19.22781194,72.82180416,A R House 330-137_0T5,RFS,GHS,8,7,1,13%,Rest
186929,A R Vintage_XJW,19.05740655,72.89684355,A R Vintage_XJW,RFS,High-rise,24,19,5,21%,Start Strong
133567,A S ENTERPRISES_3E9,19.20225405,72.95670172,A S ENTERPRISES Plot No-240_3E9,RFS,Flatbed,8,8,0,0%,Zero utilised
196025,A to Z Industrial Estate_LPG,18.99909387,72.82329849,A to Z Industrial Estate_LPG,RFS,GHS,416,268,148,36%,P1
172330,A to Z Studios Gest House_VLC,19.1046933,72.8380122,A to Z Studios Gest House_VLC,RFS,Flatbed,8,8,0,0%,Zero utilised
176894,Ashar IT Park_0TW,19.19898075,72.95403706,A Trends Ltd - Ashar IT Park_0TW,RFS,High-rise,8,7,1,13%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A1_AV3,RFS,Flatbed,32,31,1,3%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A10_AV3,RFS,Flatbed,32,31,1,3%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A11_AV3,RFS,Flatbed,32,32,0,0%,Zero utilised
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A12_AV3,RFS,Flatbed,32,29,3,9%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A13_AV3,RFS,Flatbed,16,14,2,13%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A14_AV3,RFS,Flatbed,16,15,1,6%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A2_AV3,RFS,Flatbed,32,31,1,3%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A3_AV3,RFS,Flatbed,32,32,0,0%,Zero utilised
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A4_AV3,RFS,Flatbed,32,32,0,0%,Zero utilised
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A5_AV3,RFS,Flatbed,32,30,2,6%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A6_AV3,RFS,Flatbed,32,31,1,3%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A7_AV3,RFS,Flatbed,32,31,1,3%,Rest
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A8_AV3,RFS,Flatbed,32,32,0,0%,Zero utilised
201102,A Type Apartment_AV3,19.08028213,73.00045205,A Type Apartment Wing-A9_AV3,RFS,Flatbed,32,31,1,3%,Rest
134929,A V Enterprises_IT1,19.14281261,73.01278203,A V Enterprises Plot No- PAP R251_IT1,RFS,Flatbed,8,7,1,13%,Rest
